left_ssn,right_ssn,left_dno,right_dno
987654321,987987987,4,4
987654321,999887777,4,4
987987987,987654321,4,4
987987987,999887777,4,4
999887777,987654321,4,4
999887777,987987987,4,4
123456789,333445555,5,5
123456789,453453453,5,5
123456789,666884444,5,5
123456789,987654312,5,5
333445555,123456789,5,5
333445555,453453453,5,5
333445555,666884444,5,5
333445555,987654312,5,5
453453453,123456789,5,5
453453453,333445555,5,5
453453453,666884444,5,5
453453453,987654312,5,5
666884444,123456789,5,5
666884444,333445555,5,5
666884444,453453453,5,5
666884444,987654312,5,5
987654312,123456789,5,5
987654312,333445555,5,5
987654312,453453453,5,5
987654312,666884444,5,5
