pname,pnumber,plocation,dnum,dname,dnumber,mgr_ssn,mgr_start_date
ProductX,1,Bellaire,5,Research,5,333445555,1988-05-22
ProductX,1,Bellaire,5,Administration,4,987654321,1995-05-22
ProductX,1,Bellaire,5,Headquarters,1,888665555,1981-05-22
ProductY,2,Sugarland,5,Research,5,333445555,1988-05-22
ProductY,2,Sugarland,5,Administration,4,987654321,1995-05-22
ProductY,2,Sugarland,5,Headquarters,1,888665555,1981-05-22
ProductZ,3,Houston,5,Research,5,333445555,1988-05-22
ProductZ,3,Houston,5,Administration,4,987654321,1995-05-22
ProductZ,3,Houston,5,Headquarters,1,888665555,1981-05-22
Computerization,10,Stafford,4,Research,5,333445555,1988-05-22
Computerization,10,Stafford,4,Administration,4,987654321,1995-05-22
Computerization,10,Stafford,4,Headquarters,1,888665555,1981-05-22
Reorganization,20,Houston,1,Research,5,333445555,1988-05-22
Reorganization,20,Houston,1,Administration,4,987654321,1995-05-22
Reorganization,20,Houston,1,Headquarters,1,888665555,1981-05-22
Newbenefits,30,Stafford,4,Research,5,333445555,1988-05-22
Newbenefits,30,Stafford,4,Administration,4,987654321,1995-05-22
Newbenefits,30,Stafford,4,Headquarters,1,888665555,1981-05-22
